Consumer 1
2
2
2
2
2.2434
1.7911
1.6248
1.6444
1.6444
2.7716
2.3994
2.5047
2.4835
1.6444
1.6106
1.615
1.6106
1.615
2.5205
3
1.832
1.7693
1.7849
2.1975
2.9364
3
2.7647
2.6864
2.9256
3
3
3
3
2.9785
1.7018
1.656
1.6248
1.6549
1.6433
1.5951
1.6106
1.6638
1.615
1.5816
1.6248
2.5762
3
2.7553
2.2546
2.2007
2.1479
2.1029
2.9433
2.9785
1.7018
2.2234
1.9119
1.822
1.7433
1.7495
1.7849
1.9464
2.9227
2.2461
2.205
2.6193
2.0902
1.7695
1.7495
1.7433
1.8519
2.5194
2.9215
2.8994
2.9188
2.8994
2.8805
2.8851
2.9824
2.8851
2.8695
2.8994
3
2.9379
2.6607
2.622
1.6433
1.615
1.5867
1.5786
1.5712
1.822
2.7716
2.5194
2.2434
2.2007
2.0543
2.0357
2.1029
2.1078
2.0936
2.2434
2.292
2.6708
2.1029
2.1479
3
2.6949
2.2749
2.1975
2.2816
2.045
2.1657
2.6639
1.615
2.9527
2.754
2.8593
2.9803
2.9364
2.8955
2.7585
2.7375
2.7075
2.677
2.9444
2.725
2.6193
2.6851
2.5632
1.822
1.6549
1.6248
1.6248
1.6174
1.615
1.6174
1.6174
2.4454
1.8764
1.8087
1.796
2.0868
2.6776
2.118
1.631
1.615
1.5816
1.5816
1.7695
1.5786
1.6174
1.6248
1.7433
2.0543
1.9272
1.9119
2.1078
1.7849
1.755
1.7317
2.2106
2.4122
2.2949
2.9188
3
2.9535
2.884
2.7547
2.5047
2.5708
2.9601
2.9025
2.7441
2.672
2.1136
1.5951
1.5951
1.5867
2.1225
1.8886
1.5816
1.6433
1.6106
1.6248
1.5951
1.8886
2.6902
2.1448
1.6433
2.4585
2.2569
1.615
1.7433
1.7246
1.6174
1.6174
1.6106
1.5951
1.6106
1.5951
1.5951
1.6174
1.7317
1.6444
1.6248
1.6174
1.7585
2.0357
2.721
1.7631
2.2082
2.6935
2.9785
2.891
2.891
2.8593
2.8452
2.8732
2.6401
2.7553
3
3
1.9272
1.6638
1.6582
1.6582
1.6582
1.6582
1.6549
1.631
1.6248
1.6444
1.7018
2.9601
2.1344
1.7585
1.851
2.2546
2.1078
1.7631
1.796
1.796
1.7849
1.796
2.2546
2.6401
1.801
1.6549
1.6638
1.6582
1.6582
1.6582
2.672
2.7505
1.6549
1.7433
1.7387
1.6638
1.615
1.9909
2.1202
3
2.8805
2.2734
2.216
2.2295
2.7585
2.687
2.8695
2.9824
2.8695
2.8489
1.7246
1.6549
1.6106
1.5867
1.6106
1.615
1.7018
1.6174
1.6174
2.6484
2.045
1.9881
2.2434
2.7576
2.0543
1.801
1.7495
1.6582
1.6106
1.5951
1.5951
1.755
1.615
1.6106
1.6106
1.5951
1.6444
2.5194
2.9539
1.8519
1.801
2.9785
2.2295
1.796
2.1344
2.6484
2.9364
3
2.9188
2.9771
2.7553
2.5047
2.9321
2.7576
2.4656
2.1448
2.1448
1.8886
1.8886
1.9108
1.8886
1.8701
1.6106
1.615
1.6174
1.6444
2.7259
1.6444
1.6174
2.0543
2.0543
2.6401
2.6193
2.4679
2.0543
2.007
1.7631
1.6638
1.9212
2.6812
2.4454
2.1903
1.7433
1.5786
1.5786
1.6106
1.615
1.615
1.801
2.9785
2.8779
2.7553
3
2.8593
2.9621
2.7547
2.6175
2.5632
2.8452
2.7075
2.7716
2.8851
2.871
2.8478
1.6693
1.6433
1.6433
1.6719
1.9881
1.615
2.1975
1.9881
2.9583
2.6693
1.8045
2.1078
1.7695
2.0543
2.2234
2.0902
1.6582
1.6444
1.6444
1.6549
1.6582
1.6549
1.6549
1.6444
1.832
2.013
1.9505
2.6393
2.2361
3
2.7505
2.4679
2.6193
2.9396
2.6776
2.8901
2.8618
2.8379
2.7375
2.6639
2.7352
2.8387
2.8334
2.8087
1.8886
1.8886
1.8886
1.8886
1.8886
1.8886
1.8974
1.8886
1
